Code;Nom;Famille;Coefficient;PrixBaseHT;PrixBaseTTC
MOAC;Main d'oeuvre mesure acoustique - Taux horaire;PERS.;1;€80,00 ;€96,00 
MODULE;Module micro XLR M/F long 10 m;MULTI.;1;€0,70 ;€0,84 
MODULE50;Module micro XLR M/F long.50m sur touret;MULTI.;1;€15,00 ;€18,00 
MODULE6M;Module micro XLR M/F long 6m;MULTI.;1;€0,40 ;€0,48 
MOE;Main d'oeuvre électronique. Taux horaire;PERS.;1;€58,00 ;€69,60 
MONTEUR;Forfait Technicien Monteur (montage et démontage);PERS.;1;€390,00 ;€468,00 
MOTEUR1T;Moteur de levage 1T CHAIN MASTER - chaîne 18m;STR.;1;€60,00 ;€72,00 
MOTEUR500;Moteur de levage donati 500 kg;STR.;1;€40,00 ;€48,00 
MSP5;Enceinte monitoring MSP5 YAMAHA;ENC.;1;€10,00 ;€12,00 
MTD115;Enceinte coax. L.ACOUSTICS MTD115 700 W;ENC.;1;€30,00 ;€36,00 
MULTI12/10;Multipaires 12 paires XLR/XLR long.10m;MULTI.;1;€4,50 ;€5,40 
MULTI12/5;Multipaires 12 paires XLR/XLR long.5m;MULTI.;1;€4,00 ;€4,80 
MULTI2/10;Double paires XLR/XLR long.10m;MULTI.;1;€1,50 ;€1,80 
MULTI2/5;Double paires XLR/XLR long.5m;MULTI.;1;€1,00 ;€1,20 
MULTI24;Multipaires 24 paires 50m sur touret + épanoui;MULTI.;1;€35,00 ;€42,00 
MULTI24/30;Multipaires 24 paires 35m sur touret + épanoui;MULTI.;1;€25,00 ;€30,00 
MULTI32;Multipaires 32 paires 50m sur touret + épanoui;MULTI.;1;€55,00 ;€66,00 
MULTI32/70;Multipaires 32 paires 70m sur touret  + épanoui;MULTI.;1;€65,00 ;€78,00 
MULTI4/10;Multipaires 4 paires XLR/XLR long.10m;MULTI.;1;€2,50 ;€3,00 
MULTI4/5;Multipaires 4 paires XLR/XLR long.5m;MULTI.;1;€2,00 ;€2,40 
MULTI8/10;Multipaires 8 paires XLR/XLR long.10m;MULTI.;1;€3,50 ;€4,20 
MULTI8/5;Multipaires 8 paires XLR/XLR long.5m;MULTI.;1;€3,00 ;€3,60 
OBS1;L'apport ultérieur d'informations peut entrainer une modification de ce devis.;OPTION.;0;€0,00 ;€0,00 
OBS2;Les remises appliquées ne sont valables que dans le cas d'un paiement comptant.;OPTION.;0;€0,00 ;€0,00 
OBS3;Condition de règlement: à réception de facture.;OPTION.;0;€0,00 ;€0,00 
OBS5;A l'acceptation de ce devis, celui-ci est à nous retourner;OPTION.;0;€0,00 ;€0,00 
OBS6;"Signé, daté, mentionné ""bon pour accord"".";OPTION.;0;€0,00 ;€0,00 
OBS7;Devis valable 1 mois à compter de la date de création.;OPTION.;0;€0,00 ;€0,00 
OBS8;Les repas de l'équipe technique sont à la charge de l'organisateur;OPTION.;0;€0,00 ;€0,00 
OBS9;Succeptible de varier en fonction du cours du change €/$ euro/dollar;;0;€0,00 ;€0,00 
P10R;Récepteur ceinture PSM1000  Shure - L8E;HF.;0,08724;€55,00 ;€66,00 
P10TE;Emetteur double PSM1000  Shure - L8E;HF.;0,09151;€180,00 ;€216,00 
P1750;Câble d'alim P17  32A M/F long 50m;ALIM.;1;€20,00 ;€24,00 
PALAN;Palan manuel 1 tonne;STR.;1;€15,00 ;€18,00 
PAR575;Projecteur PAR HPL 575;TRAD.;1;€4,00 ;€4,80 
PAR64;Projecteur PAR 64 1 kW solo;TRAD.;1;€6,00 ;€7,20 
PARTRI;Projecteur trichromique DMX 3 x 575 W HPL;TRAD.;1;€8,00 ;€9,60 
PASSCABLE;Passage de câble 150mm - section de 1m;ACC.;1;€7,00 ;€8,40 
PC1KW;Projecteur Plan Convexe 1 kW;TRAD.;1;€7,00 ;€8,40 
PCM60;Reverb Lexicon PCM60;PERI.;1;€25,00 ;€30,00 
PEC;Prise en charge Véhicule départ Caen forfait;LOGI.;1;€95,00 ;€114,00 
PENDRI;Pendrillonnage rideau L:3/ H:6m oeillets + nouettes;ACC.;1;€30,00 ;€36,00 
PHD8;2 way full range loudspeaker 200w;ENC.;1;€15,00 ;€18,00 
PIEDCREM;Pied d'enceinte 35mm en aluminium à crémaillère  2.40m;STR.;1;€8,00 ;€9,60 
PIEDDROIT;Pied de micro droit embase lourde K&M;ACC.;1;€3,00 ;€3,60 
PIEDELV270;Pied de levage 2,70m 60kg Max;STR.;8;€8,00 ;€9,60 
PIEDGRAND;Grand pied perche K&M pour microphone;ACC.;1;€3,00 ;€3,60 
PIEDMOBILTECH;Pied de levage Mobiltech 100 kg / h 4.20 m;STR.;1;€23,00 ;€27,60 
PIEDPETIT;Petit pied perche K&M pour microphone;ACC.;1;€3,00 ;€3,60 
PIEDSENN;Pied support enceinte 35 kg SENN;ACC.;1;€4,00 ;€4,80 
PIEDSMIC15;Ensemble de 15 pieds de micros noir K&M;ACC.;1;€36,00 ;€43,20 
PIEDSMICROS;Ensemble standard 12 pieds micros K&M;ACC.;1;€30,00 ;€36,00 
PIEDTABLE;Pied de micro embase ronde pour table;ACC.;1;€1,50 ;€1,80 
PIEDTO74;Pied de levage VMB TO74 220 kg - h  max 5.50 m;STR.;1;€32,00 ;€38,40 
PIEDTUB;Barre d'extension téléscopique Sub/Tête K&M;ACC.;1;€4,00 ;€4,80 
PILE1.5;Pile longue durée Alcaline R6 type bâton 1.5V pour micro HF;CON.;1;€1,20 ;€1,44 
PILE9V;Pile longue durée alcaline type 6LR61 9V;CONS.;1;€5,00 ;€6,00 
PLM10000Q;Lab Gruppen PLM10000Q 4x2300W Processing Lake;AMP.;1;€80,00 ;€96,00 
PM3500;Console de mixage  Yamaha PM3500 40/8/2   8 VCA + ALIM;MIX.;1;€285,00 ;€342,00 
PM3500/32;Console de mixage Yamaha PM3500 32+4/8/2;;1;€214,00 ;€256,80 
PM3500M;Console de mixage Yamaha PM3500 Monitor 52/18;MIX.;1;€380,00 ;€456,00 
PM4000;Console MixageYamaha PM4000 44/8st/12aux;MIX.;1;€380,00 ;€456,00 
POINTE;Automatique ROBE robin pointe;;1;€90,00 ;€108,00 
PONT250;Ensemble levage Mobiltech Pont 10 m alu 250 + 2 pieds 100 kg;STR.;1;€46,00 ;€55,20 
PONT500;Kit Pont Guillet 500 12m + 2 pieds Work 220 kg 5.5m;STR.;1;€120,00 ;€144,00 
POUTRE250;Poutre 2 m Mobiltech alu 250  à correction de chappe;STR.;1;€10,00 ;€12,00 
POUTRE300C;Poutre truss alu renforcé carré section 300mm long 3m;STR.;1;€20,00 ;€24,00 
POUTRE500;Poutre 3 m Guillet 500 triangulaire;STR.;1;€25,00 ;€30,00 
POUTRE500R;Poutre 1 m Guillet 500 triangulaire;STR.;1;€10,00 ;€12,00 
PRATOS;Praticable 2 X 1;STR.;1;€30,00 ;€36,00 
PROLONG;Prolongateur 2 pôles + terre;CABLIGHT.;1;€0,60 ;€0,72 
PSM1000;Ensemble émetteur/récepteur In Ear Monitor PSM1000 Shure;HF.;0,08929;€150,00 ;€180,00 
QL1;Yamaha QL1;;1;€200,00 ;€240,00 
QL5;Console de mixage Yamaha QL5;;1;€280,00 ;€336,00 
QUARTZ;Projecteur halogène 500 W;TRAD.;1;€5,00 ;€6,00 
RACK115;Rack Amplification et Process 1 circuit  MTD115;AMP.;1;€20,00 ;€24,00 
RACK8JUNO;Amplification 10000Q + XTA DP224 pour 8 Juno10;AMP.;1;€75,00 ;€90,00 
RACKARCS;Rack amplification pour diffusion 1 à 6 ARCS;AMP.;1;€50,00 ;€60,00 
RACKDJIP;Amplification Powersoft pour 4 circuits DJIP 4x 400W;AMP.;1;€30,00 ;€36,00 
RACKK10;Rack amplification 10kW pour 8 K10 + Processeur;AMP.;1;€75,00 ;€90,00 
RACKRO;Rack d'amplification et processing pour 1 à 6 Ro15;AMP.;1;€75,00 ;€90,00 
RACKSUBFP;Rack 1ampli 10k Solo pour 4x TK-BR 25;AMP.;1;€45,00 ;€54,00 
RACKXO2;Rack amplification et processing 2 canaux Xo15;AMP.;1;€35,00 ;€42,00 
RACKXO4;Rack amplification et processing 4 canaux Xo15;AMP.;1;€75,00 ;€90,00 
RACKXO6;Rack amplification et processing 6 canaux Xo15;AMP.;1;€90,00 ;€108,00 
RACKXO8;Rack amplification et processing 8 canaux Xo15 en P17/32;AMP.;1;€130,00 ;€156,00 
RACKXOACT;Rack amplification et processing 4 canaux actifs Xo15;AMP.;1;€130,00 ;€156,00 
RACKXORO;Rack 10k 4 canaux bi-amp pour 2 Xo15/Ro15;AMP.;1;€50,00 ;€60,00 
RECEPTEURHF;Récepteur HF Sennheiser seul;HF.;1;€30,00 ;€36,00 
REGIEPLAT;Régisseur plateau cachet brut + charges;PERS.;1;€368,00 ;€441,60 
REGISSEUR;Régisseur général cachet brut + charges;PERS.;1;€390,00 ;€468,00 
RI8;Rack RI8-D/8 entrées pour CL5 Yamaha;MIX.;1;€30,00 ;€36,00 
RIGGER;Technicien habilité accroche/levage et travail en hauteur;PERS.;1;€390,00 ;€468,00 
RIO32/24;Rack Yamaha RIO32in/16out + 4 AES;MIX.;1;€150,00 ;€180,00 
RJ100;Câble Ethercon CAT5e 100m;CON.;1;€40,00 ;€48,00 
RJ20;Câble Ethercon CAT5e 20m;CON.;1;€15,00 ;€18,00 
RJ30;Câbles Ethernet Cat5e 30m;CON.;1;€18,00 ;€21,60 
RJ50;Câble Ethercon CAT5e 50m;CON.;1;€20,00 ;€24,00 
RJ70;Câble Ethercon CAT6 70m;CON.;1;€30,00 ;€36,00 
RJ80;Câble RJ45 Cat.6 sur touret 80m;CON.;1;€35,00 ;€42,00 
RK/K10/8;Rack d'amplification et processing pour 8 K10;AMP.;1;€75,00 ;€90,00 
RK/K12/8;Rack d'amplification et processing pour 8 K12;AMP.;1;€125,00 ;€150,00 
RO15;"Elément à courbure constante 25°.800W 15"" 1,4"" Waveguide";ENC.;1;€30,00 ;€36,00 
ROAD;Assistant montage / démontage;PERS.;1;€228,00 ;€273,60 
S3;AYRTON Nandobeam s3;;1;€60,00 ;€72,00 
SB118;SUB 1x18'' / 1Kw;ENC.;20;€20,00 ;€24,00 
SB218;Enceinte subgrave L.ACOUSTICS SB218 2 kW;ENC.;1;€35,00 ;€42,00 
SE215;Écouteurs intra-auriculaire SE215 Shure;HF.;0,07497;€5,00 ;€6,00 
SERRETETEBEYER;Micro serre-tête BeyerDynamic chair pour HF série EW;CAPT.;1;€15,00 ;€18,00 
SM10A;Micro casque dynamique SM10a Shure;CAPT.;1;€7,00 ;€8,40 
SM57;Micro cardioïde SM57 Shure;CAPT.;1;€7,00 ;€8,40 
SM58;Micro cardioïde SM58 Shure;CAPT.;1;€7,00 ;€8,40 
SM87A;Micro statique cardioïde SM87A Shure;CAPT.;1;€15,00 ;€18,00 
SM91;Microphone statique SM91 Shure;CAPT.;1;€15,00 ;€18,00 
SOUSPATCH;Ensemble câblage sous-patch harting et boîtiers modulaires;CON.;1;€40,00 ;€48,00 
SP2060;Loud Speaker Processor Yamaha SP2060;PERI.;1;€35,00 ;€42,00 
SPH1.6;Sphère Blanche diam1.6mètres;;1;€285,00 ;€342,00 
SPX990;Multi effets Yamaha SPX990;PERI.;1;€25,00 ;€30,00 
ST24;Pied de levage GENIE ST24 - 295 kg / h.7m;STR.;1;€79,00 ;€94,80 
STAGE16/8;Stage Box 16in/8out ou 24in + 24 modules;MULTI.;1;€10,00 ;€12,00 
STAGE24;Stage Box 24 in + 24 modules + 2 sous-patchs;MULTI.;1;€10,00 ;€12,00 
STAGE32;Stage Box 32 in + 32 modules + 3 sous-patchs;MULTI.;1;€15,00 ;€18,00 
STOPCHUTE500;Antichute de charge KRATOS 500kg - câble 15m;STR.;1;€40,00 ;€48,00 
TCM2000;Unité de réverbération numérique tc.electronic M2000;PERI.;1;€38,00 ;€45,60 
TCM3000;Unité de réverbération numérique tc.electronic M3000;PERI.;1;€42,00 ;€50,40 
TECHK12;Technicien agrémenté KRYTER12;PERS.;1;€390,00 ;€468,00 
TECHK12/10;Technicien agrémenté KYU Systems Kryter 12/10;PERS.;1;€390,00 ;€468,00 
TECHLED;Technicien Ecran LED;PERS.;1;€368,00 ;€441,60 
TECHLIGHT;Technicien éclairagiste cachet brut + charges;PERS.;1;€368,00 ;€441,60 
TECHSON;Technicien sonorisateur cachet brut + charges;PERS.;1;€368,00 ;€441,60 
TECHSON1;Technicien sonorisateur cachet brut + charges;PERS.;1;€378,00 ;€453,60 
TECHVIDEO;Technicien vidéo cachet brut + charges;PERS.;1;€368,00 ;€441,60 
TELECOMMANDE;Télécommande pour 1/2 moteurs (P17 32 A);STR.;1;€15,00 ;€18,00 
TENTE;Tente de régie noire 3m x 3m;ACC.;1;€50,00 ;€60,00 
TK18;"Enceinte sub 8 Ohms à pavillon replié / 1x 18"" 1000W";ENC.;1;€20,00 ;€24,00 
TK25;"Enceinte Sub à pavillon replié / 2x18"" - 2000W";ENC.;1;€35,00 ;€42,00 
TK36;"Enceinte subgrave cardio 2x 4ohm à pavillon replié/4x18""/4000W";ENC.;1;€50,00 ;€60,00 
TL21;"Enceinte SUB 1x21""";ENC.;1;€80,00 ;€96,00 
TOOLBOX;Analyseur audio multi fonctions TOOLBOX;ACC.;1;€23,00 ;€27,60 
TOWER;Hi Tower motorisé h. 6m / 400kg;STR.;1;€100,00 ;€120,00 
TRANSFO;Transformateur 110V/220V - 630 VA - 3,5 A - en rack;CON.;1;€30,00 ;€36,00 
TRANSFOBF;Boitier d'isolation galvanique 2 circuits + earth-lift;CON.;1;€4,00 ;€4,80 
TRANSP03;Transport VL  prix au Km;LOGI.;1;€0,80 ;€0,96 
TRANSP1;Transport 20m3 prix au km;LOGI.;1;€0,90 ;€1,08 
TRANSP2;Transport 35m3 prix au km;LOGI.;1;€1,20 ;€1,44 
TRANSP4;Forfait transport;LOGI.;1;€150,00 ;€180,00 
TRANSPF;Transport/Livraison matériel périmètre Caen < 10km;LOGI.;1;€65,00 ;€78,00 
ULTRAGAINADA8000;Ultra Gain Pro-8 Digital ADA8000;PERI.;1;€20,00 ;€24,00 
UR1;Emetteur HF Pocket UR1 Shure;HF.;1;€15,00 ;€18,00 
UR1M;Emetteur HF Pocket Mini UR1M Shure;HF.;1;€15,00 ;€18,00 
UR2;Emetteur HF main Shure UR2;HF.;1;€15,00 ;€18,00 
UR2B58;Capsule Beta 58 Shure pour Emetteur main UR2;HF.;1;€5,00 ;€6,00 
UR2SM58;Capsule SM58 Shure pour Emetteur main UR2;HF.;1;€5,00 ;€6,00 
UR4D;Système HF Shure émetteur/récepteur URsérie micro B58;HF.;1;€69,00 ;€82,80 
UR4DPOCKET;Liaison UHF Shure URsérie - Emetteur Pocket;HF.;1;€69,00 ;€82,80 
UR4DSOLO;Récepteur double HF Shure UR4D;HF.;1;€55,00 ;€66,00 
V88C10;Ampli Linea Research 8x 1250W AES5 with DSP 2U 12kg;VDIVELEC.;1,66667;€7?000,00 ;€8?400,00 
VBR18;"KYU SYSTEMS BR18 Sub Bass Reflex 1x18""";VAD.;1;€2?530,00 ;€3?036,00 
VBR25;"KYU SYSTEMS BR25 Sub Bass Reflex 2x18"" bobines 5""";VAD.;1;€2?800,00 ;€3?360,00 
VBRC21;"BR121C Subwoofer 21"" Carbon 1200W 5""Vc sens 99dB 28-120Hz";VAD.;4;€4?000,00 ;€4?800,00 
VBUMPER;Bumper d'accroche pour série Kryter;VAD.;1;€1?400,00 ;€1?680,00 
VBUMPERRO;Bumper d'accroche pour 3 Ro15;VAD.;1;€360,00 ;€432,00 
VBUMPJUNO;Bumper d'accroche pour Juno et Juno Sub;VAD.;1;€1?500,00 ;€1?800,00 
VCOUPLERO;Ensemble de 2 barres de couplage pour Ro15;VAD.;1;€200,00 ;€240,00 
VDCX2496;Processeur DCX2496 Behringer 3 IN/6 OUT;;1;€308,53 ;€370,24 
VDIV;Vente divers;;0;€0,00 ;€0,00 
VDOLLYK10;Dolly de transport à roulettes et capot de protection pour 4 Kryter10;VAD.;2,49169;€323,92 ;€388,70 
VDOLLYK12;Dolly de transport à roulettes et capot de protection pour 3 à 4 Kryter12;;2,49169;€323,92 ;€388,70 
VDOLLYRO;Chariot de transport pour 3 Ro15;VAD.;1;€250,00 ;€300,00 
VDOLLYTK;Chariot de transport pour TK36 et 25;VAD.;1;€640,00 ;€768,00 
VFLIGHTJUNO;Flight case pour 4 Juno ou 2 Juno Sub;VAD.;1;€700,00 ;€840,00 
VFLIGHTRO;Flight case pour 3 Ro15;VAD.;1;€700,00 ;€840,00 
VFLIGHTX8;Flight case pour 4 enceintes X8;VAD.;1;€300,00 ;€360,00 
VFLIGHTXO;Flight case pour 2 Xo15;;1;€400,00 ;€480,00 
VFP10000Q;Amplificateur LAB GRUPPEN 4x 2500W;VDIVELEC.;1;€4?936,00 ;€5?923,20 
VFP10K;Amplificateur Fp10k  4x 2500W classe TD;VAD.;1;€2?000,00 ;€2?400,00 
VGOUP10;Goupille aéronautique pour Kryter12/10 - diam.10mm;VAD.;1;€17,00 ;€20,40 
VGOUP12;Goupille aéronautique pour Kryter12 /10 - diam.12mm;VAD.;1;€26,00 ;€31,20 
VHOUSBR18;Housse de protection pour BR18;VAD.;1;€350,00 ;€420,00 
VHQ15;Amplificateur SAE HQ15 classH 2x3700W/2ohm-2x1500W/8ohm;VAD.;1;€1?813,00 ;€2?175,60 
VHQ6.5;Amplificateur SAE HQ6.5 classH 2x 700W/8  2x 1200W/4;VAD.;5,98;€1?196,00 ;€1?435,20 
VJUNO;KYU SYSTEMS Juno ligne source 3 voies;VAD.;1;€4?900,00 ;€5?880,00 
VJUNOSUB;"KYU SYSTEMS Juno Sub 1x18"" riggable";VAD.;1;€2?900,00 ;€3?480,00 
VK10;"KYU SYSTEMS Kryter10 Line source 115°x10°- 2x10"" + coax 4""+1""";VAD.;4,98333;€4?485,00 ;€5?382,00 
VK12;"KYU SYSTEMS Kryter12 Line Source 90°x5°- 2x12"" - 4x6"" - 2x1.5""";VAD.;1;€7?000,00 ;€8?400,00 
VLM26;LAKE LM26 contrôleur numérique 2 in/6 out;VAD.;1;€3?980,00 ;€4?776,00 
VLM44;LAKE LM44 contrôleur numérique MESA EQ 4 in/4 out;VAD.;1;€4?390,00 ;€5?268,00 
VMODULE10;Câble micro XLR/XLR mâle/femelle A-ONE long.10m;VAD.;1;€13,30 ;€15,96 
VMODULE5;Câble micro XLR/XLR mâle/femelle A-ONE long 5m;VAD.;1;€9,11 ;€10,93 
VP;Vidéo Projecteur Matrice LED 4500lmn;;1;€20,00 ;€24,00 
VPIVOT;Jeu de 2 pivots avant pour KRYTER 12 et 10;VAD.;0;€0,00 ;€0,00 
VPLM10000Q;Lab Gruppen PLM10000Q 4x 2500W + Dolby Lake;VAD.;1;€8?770,00 ;€10?524,00 
VPLM12K44;Lab Gruppen PLM12K44 4x3000W + Lake;VDIVELEC.;1,56872;€9?850,00 ;€11?820,00 
VRO15;KYU SYSTEMS Ro15 ligne source horizontale 2 voies actives - 25°;VAD.;1;€3?000,00 ;€3?600,00 
VSTACKER;Stacker en acier pour série Kryter;;1,99333;€1?794,00 ;€2?152,80 
VTK18;"KYU SYSTEMS TK18 Sub 1x18"" pavillonné";VAD.;1;€1?700,00 ;€2?040,00 
VTK25;"KYU SYSTEMS TK25 Sub 2x18"" pavillonné";VAD.;1;€2?800,00 ;€3?360,00 
VTK36;"KYU SYSTEMS TK36 Sub 4x18"" pavillonné";VAD.;1;€4?200,00 ;€5?040,00 
VVERIN;Vérin de polarisation pour KRYTER 12 et 10;VAD.;1;€360,00 ;€432,00 
VX12;Ampli SAE X12 2x1200W/8ohm - classe H - 3 étages;VAD.;1;€2?700,00 ;€3?240,00 
VXO15;"KYU SYSTEMS Xo15 point source 15""+ 2"" coax.";VAD.;1;€1?900,00 ;€2?280,00 
WING;CONSOLE grand MA WING;;1;€100,00 ;€120,00 
X12;Ampli class H  X12 2x3000W/2ohm - 2x1200W/8ohm;AMP.;1;€35,00 ;€42,00 
X32MIXDIGITAL;Console digitale X32 Behringer;MIX.;1;€70,00 ;€84,00 
XENYX;Console de mixage Behringer Xenyx X1832USB;MIX.;1;€20,00 ;€24,00 
XENYX1204;Console de mixage Behringer Xenyx 1204USB;MIX.;1;€10,00 ;€12,00 
XO15;"Enceinte de retour coaxiale 15"" + 2"" point source à 60°";ENC.;1;€30,00 ;€36,00 
XTA;Egaliseur 1/3oct. stéréo XTA;PERI.;1;€25,00 ;€30,00 
